                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1777,                 1.3264,                 1.4388,                0.00369,                0.23604,                0.00213,                0.00046,                 4.3126,                    inf,                 30.795,             0.00066154,             0.00066154,             0.00066154
                      2,                 1.4684,                 1.4753,                 1.6487,                0.43471,                0.50551,                 0.4451,                0.22532,                 1.7513,                 3.8894,                 2.2707,              0.0013238,              0.0013238,              0.0013238
                      3,                 1.4615,                 1.4057,                 1.6429,                0.58257,                0.59391,                0.60189,                0.35986,                 1.3975,                 2.4734,                 1.7878,              0.0019817,              0.0019817,              0.0019817
                      4,                 1.3422,                 1.2356,                 1.5519,                0.58724,                0.55584,                 0.5678,                 0.3189,                 1.5124,                 1.7516,                 1.8138,              0.0019802,              0.0019802,              0.0019802
                      5,                 1.2666,                 1.1353,                 1.5049,                0.86947,                0.82844,                0.89869,                0.60834,                 1.0831,                 0.9553,                 1.4897,              0.0019736,              0.0019736,              0.0019736
                      6,                 1.2082,                 1.0902,                  1.475,                0.87073,                0.87186,                0.93038,                0.62281,                 1.0789,                0.94444,                 1.4374,               0.001967,               0.001967,               0.001967
                      7,                 1.1701,                0.99993,                 1.4402,                0.90528,                0.89594,                0.95615,                0.67505,                 0.9839,                0.77999,                 1.3547,              0.0019604,              0.0019604,              0.0019604
                      8,                 1.1312,                0.93474,                 1.4046,                0.90363,                0.85676,                0.93422,                0.63965,                 1.0683,                0.84591,                 1.4677,              0.0019538,              0.0019538,              0.0019538
                      9,                 1.0896,                0.89777,                 1.3674,                0.92983,                0.90355,                0.95834,                0.70625,                 0.8878,                 0.6409,                  1.292,              0.0019472,              0.0019472,              0.0019472
                     10,                 1.0664,                0.86313,                 1.3614,                0.93781,                0.91859,                0.97041,                0.71496,                0.89481,                 0.6378,                 1.2913,              0.0019406,              0.0019406,              0.0019406
                     11,                 1.0088,                0.81798,                 1.3217,                0.91599,                0.88554,                0.94044,                0.67776,                 0.9582,                0.68183,                 1.3504,               0.001934,               0.001934,               0.001934
                     12,                 1.0241,                 0.8128,                 1.3325,                0.94755,                0.91698,                0.97864,                 0.7492,                0.81264,                0.57345,                 1.1984,              0.0019274,              0.0019274,              0.0019274
                     13,                0.96963,                0.76852,                 1.2912,                0.94043,                 0.9216,                0.97239,                0.72545,                0.87197,                  0.556,                 1.2985,              0.0019208,              0.0019208,              0.0019208
                     14,                0.99057,                0.77168,                 1.3097,                0.94837,                0.93246,                0.97517,                0.74139,                0.81193,                0.52152,                 1.2287,              0.0019142,              0.0019142,              0.0019142
                     15,                0.96668,                0.73603,                 1.2935,                0.91532,                0.93277,                0.97117,                0.74546,                 0.8149,                0.58118,                 1.2188,              0.0019076,              0.0019076,              0.0019076
                     16,                0.93468,                0.71625,                 1.2604,                0.95065,                0.92386,                0.97249,                0.75126,                0.83474,                0.51568,                 1.2435,               0.001901,               0.001901,               0.001901
                     17,                0.91834,                0.71003,                  1.263,                0.95351,                0.93695,                0.97689,                0.75499,                  0.808,                0.51253,                 1.2117,              0.0018944,              0.0018944,              0.0018944
                     18,                0.92202,                0.71929,                 1.2606,                0.94755,                0.94162,                0.97805,                 0.7615,                 0.7839,                0.49885,                 1.2215,              0.0018878,              0.0018878,              0.0018878
                     19,                0.87674,                0.66752,                 1.2298,                0.97186,                0.96701,                0.98651,                0.79316,                0.71511,                0.47685,                 1.1498,              0.0018812,              0.0018812,              0.0018812
                     20,                0.86332,                0.64705,                 1.2153,                0.95643,                0.93909,                0.98412,                0.77263,                0.78235,                0.48642,                 1.1851,              0.0018746,              0.0018746,              0.0018746
                     21,                0.87828,                0.67996,                 1.2336,                0.95879,                0.94471,                0.98608,                0.78343,                0.77918,                0.46034,                 1.1672,               0.001868,               0.001868,               0.001868
                     22,                0.86273,                 0.6381,                 1.2247,                0.95138,                0.93909,                0.97944,                 0.7772,                0.74238,                0.46867,                 1.1666,              0.0018614,              0.0018614,              0.0018614
                     23,                0.83704,                0.64707,                 1.1977,                0.96688,                0.95431,                0.98636,                0.78744,                0.72677,                0.42847,                 1.1542,              0.0018548,              0.0018548,              0.0018548
                     24,                0.84402,                0.63705,                 1.2073,                0.94821,                0.96447,                0.98338,                 0.7871,                0.74398,                0.44894,                 1.1588,              0.0018482,              0.0018482,              0.0018482
                     25,                 0.8116,                0.60237,                 1.1868,                0.96745,                0.96447,                0.98573,                0.78476,                0.74381,                0.43341,                 1.1414,              0.0018416,              0.0018416,              0.0018416
                     26,                0.80777,                0.61286,                  1.187,                0.96731,                0.95685,                0.99056,                0.80302,                0.71483,                 0.4248,                 1.1301,               0.001835,               0.001835,               0.001835
                     27,                0.79594,                0.59042,                 1.1761,                0.95974,                0.96804,                0.98851,                0.77946,                0.74849,                0.42094,                 1.1902,              0.0018284,              0.0018284,              0.0018284
                     28,                0.79522,                0.59278,                 1.1865,                 0.9612,                0.94321,                0.98019,                0.77636,                 0.7563,                0.44653,                 1.1805,              0.0018218,              0.0018218,              0.0018218
                     29,                0.78411,                0.57061,                 1.1587,                0.95003,                0.96507,                0.98451,                0.79931,                0.71926,                0.41938,                 1.1636,              0.0018152,              0.0018152,              0.0018152
                     30,                0.78197,                0.58747,                 1.1758,                0.95273,                0.97205,                0.98884,                0.79693,                0.69009,                0.40934,                 1.1202,              0.0018086,              0.0018086,              0.0018086
                     31,                0.78028,                0.56854,                 1.1587,                0.95192,                0.96447,                 0.9862,                0.78783,                0.73411,                0.42206,                 1.1509,               0.001802,               0.001802,               0.001802
                     32,                0.76928,                0.56528,                 1.1624,                0.97206,                0.97136,                0.99038,                 0.7978,                0.72538,                0.39843,                 1.1441,              0.0017954,              0.0017954,              0.0017954
                     33,                0.74767,                0.55135,                 1.1497,                0.96577,                0.96701,                0.98436,                0.79813,                0.71145,                0.40615,                 1.1568,              0.0017888,              0.0017888,              0.0017888
                     34,                0.76299,                0.56281,                 1.1472,                0.94996,                0.96359,                0.98783,                0.81962,                0.65357,                0.39578,                 1.1008,              0.0017822,              0.0017822,              0.0017822
                     35,                0.75021,                0.54651,                 1.1444,                0.96838,                0.95939,                  0.991,                0.80294,                0.69606,                0.37975,                 1.1567,              0.0017756,              0.0017756,              0.0017756
                     36,                0.74175,                0.54481,                 1.1451,                0.95693,                0.95868,                0.98691,                 0.7935,                0.73069,                0.41871,                 1.1715,               0.001769,               0.001769,               0.001769
                     37,                0.72368,                0.53782,                 1.1301,                0.97162,                0.96193,                0.98316,                0.80769,                0.66455,                0.37938,                  1.122,              0.0017624,              0.0017624,              0.0017624
                     38,                0.73707,                0.53461,                 1.1371,                0.97209,                0.97252,                0.99059,                0.81448,                0.69722,                 0.4002,                  1.148,              0.0017558,              0.0017558,              0.0017558
                     39,                 0.7221,                0.53396,                 1.1273,                0.95895,                0.94873,                0.98226,                0.79815,                0.71891,                  0.398,                 1.1655,              0.0017492,              0.0017492,              0.0017492
                     40,                0.72019,                0.52275,                 1.1347,                0.97707,                0.97357,                0.99149,                0.82061,                0.68075,                0.37134,                 1.1075,              0.0017426,              0.0017426,              0.0017426
                     41,                0.70459,                0.51845,                 1.1157,                0.93762,                0.95178,                 0.9757,                0.79098,                0.70717,                0.42952,                 1.1594,               0.001736,               0.001736,               0.001736
                     42,                0.71516,                0.51107,                 1.1154,                0.96257,                 0.9797,                0.99014,                0.81421,                0.65731,                0.37543,                 1.1061,              0.0017294,              0.0017294,              0.0017294
                     43,                0.69495,                0.50527,                  1.101,                0.96433,                0.94924,                0.97914,                0.80919,                0.68534,                0.38558,                 1.1199,              0.0017228,              0.0017228,              0.0017228
                     44,                0.69413,                0.49714,                 1.1036,                0.95219,                0.96053,                0.97967,                0.80032,                0.70047,                0.41905,                 1.1404,              0.0017162,              0.0017162,              0.0017162
                     45,                0.68654,                0.49333,                 1.1127,                0.96523,                0.97462,                0.99066,                0.81432,                0.68837,                 0.3683,                 1.1202,              0.0017096,              0.0017096,              0.0017096
                     46,                0.68328,                 0.4916,                 1.1029,                0.95276,                0.97261,                0.98729,                0.78886,                0.71574,                0.38728,                 1.1368,               0.001703,               0.001703,               0.001703
